"No.","Time","Source","Destination","Protocol","Length","Info"
"11708","32.947267","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","83","Protected Payload (KP0)"
"11709","32.947267","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","83","Protected Payload (KP0)"
"11710","32.947751","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","93","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11711","32.952449","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","83","Protected Payload (KP0)"
"11712","32.953603","35.244.233.98","192.168.29.161","QUIC","691","Protected Payload (KP0)"
"11713","32.953603","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","90","Protected Payload (KP0)"
"11714","32.953603","35.244.233.98","192.168.29.161","QUIC","110","Protected Payload (KP0)"
"11715","32.954656","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","93","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11716","32.957491","35.244.233.98","192.168.29.161","QUIC","695","Protected Payload (KP0)"
"11717","32.957491","35.244.233.98","192.168.29.161","QUIC","698","Protected Payload (KP0)"
"11718","32.958838","192.168.29.161","35.244.233.98","QUIC","80","Protected Payload (KP0), DCID=f7344292e15c1234"
"11719","32.963342","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","90","Protected Payload (KP0)"
"11720","32.963342","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","90","Protected Payload (KP0)"
"11721","32.963736","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","93","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11722","32.971246","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","90","Protected Payload (KP0)"
"11723","32.980426","35.244.233.98","192.168.29.161","QUIC","67","Protected Payload (KP0)"
"11724","32.981843","35.244.233.98","192.168.29.161","QUIC","698","Protected Payload (KP0)"
"11725","32.981843","35.244.233.98","192.168.29.161","QUIC","138","Protected Payload (KP0)"
"11726","32.995481","192.168.29.161","35.244.233.98","QUIC","79","Protected Payload (KP0), DCID=f7344292e15c1234"
"11727","32.997373","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","94","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
